,latitude,longitude,address
0,,,"город Москва, улица Академика Королёва, дом 8А"
1,,,"город Москва, Анадырский проезд, дом 63А"
2,,,"город Москва, город Зеленоград, корпус 1006А"
3,,,"город Москва, Большая Академическая улица, дом 17"
4,,,"город Москва, Уральская улица, дом 3"
5,,,"город Москва, Армавирская улица, дом 5"
6,,,"город Москва, улица Лётчика Бабушкина, дом 24"
7,,,"город Москва, Берников переулок, дом 2"
8,,,"город Москва, Воронежская улица, дом 7"
9,,,"город Москва, улица 800-летия Москвы, дом 11"
10,,,"город Москва, Дмитровское шоссе, дом 113, корпус 1"
11,,,"город Москва, Дубнинская улица, дом 12, корпус 3"
12,,,"город Москва, улица Дудинка, дом 2, корпус 1"
13,,,"город Москва, Живописная улица, дом 12, корпус 1"
14,,,"город Москва, Измайловская площадь, дом 8"
15,,,"город Москва, Измайловский бульвар, дом 60/10"
16,,,"город Москва, Кантемировская улица, дом 17, корпус 1"
17,,,"город Москва, Кантемировская улица, дом 20, корпус 1"
18,,,"город Москва, Краснобогатырская улица, дом 23"
19,,,"город Москва, Краснодарская улица, дом 57, корпус 1"
20,,,"город Москва, улица Красного Маяка, дом 9"
21,,,"город Москва, Ленинский проспект, дом 74"
22,,,"город Москва, Люблинская улица, дом 59"
23,,,"город Москва, Михалковская улица, дом 6"
24,,,"город Москва, улица Молостовых, дом 13, корпус 1"
25,,,"город Москва, улица Народного Ополчения, дом 28, корпус 1"
26,,,"город Москва, Нахимовский проспект, дом 30/43"
27,,,"город Москва, Овчинниковская набережная, дом 22/24, строение 1"
28,,,"город Москва, Отрадная улица, дом 7"
29,,,"город Москва, Рижский проезд, дом 11"
30,,,"город Москва, улица Рогожский Вал, дом 3"
31,,,"город Москва, улица Руставели, дом 8, корпус 1"
32,,,"город Москва, Тайнинская улица, дом 20"
33,,,"город Москва, Тихорецкий бульвар, дом 12, корпус 1"
34,,,"город Москва, улица Хлобыстова, дом 20, корпус 1"
35,,,"город Москва, Новочеркасский бульвар, дом 20, корпус 1"
36,,,"город Москва, улица Авиаконструктора Миля, дом 3"
37,,,"город Москва, Митинская улица, дом 53"
38,,,"город Москва, улица Генерала Белобородова, дом 19"
39,,,"город Москва, улица Борисовские Пруды, дом 14, корпус 5"
40,,,"город Москва, улица Красная Пресня, дом 23, корпус Б, строение 1"
41,,,"город Москва, улица Генерала Тюленева, дом 4А, строение 1"
42,,,"город Москва, улица Винокурова, дом 4, корпус 1"
43,,,"город Москва, Алтуфьевское шоссе, дом 22"
44,,,"город Москва, Северный бульвар, дом 10"
45,,,"город Москва, Ясный проезд, дом 13, строение 2"
46,,,"город Москва, Широкая улица, дом 31"
47,,,"город Москва, улица Обручева, дом 55А"
48,,,"город Москва, улица Академика Капицы, дом 28"
49,,,"город Москва, Колодезный переулок, дом 3"
50,,,"город Москва, Белозерская улица, дом 11Г"
51,,,"город Москва, Валдайский проезд, дом 8"
52,,,"город Москва, Боровское шоссе, дом 37, корпус 2"
53,,,"город Москва, Комсомольская площадь, дом 6"
54,,,"город Москва, 9-я Парковая улица, дом 68, корпус 5"
55,,,"город Москва, бульвар Яна Райниса, дом 41"
56,,,"город Москва, Часовая улица, дом 13"
57,,,"город Москва, улица Мичуринский Проспект, Олимпийская Деревня, дом 4, корпус 3"
58,,,"город Москва, Усачёва улица, дом 35, строение 1"
59,,,"город Москва, Зелёный проспект, дом 24"
60,,,"город Москва, Рязанский проспект, дом 75, строение 1"
61,,,"город Москва, Волгоградский проспект, дом 73, строение 1"
62,,,"город Москва, Берингов проезд, дом 3, строение 6"
63,,,"город Москва, Прокатная улица, дом 2"
64,,,"город Москва, Перовская улица, дом 32"
65,,,"город Москва, Щёлковское шоссе, дом 27А"
66,,,"город Москва, Батайский проезд, дом 69"
67,,,"город Москва, Новочеркасский бульвар, дом 41, корпус 4"
68,,,"город Москва, 2-я Владимирская улица, дом 59/39"
69,,,"город Москва, улица Гарибальди, дом 4Г"
70,,,"город Москва, улица Миклухо-Маклая, дом 36А"
71,,,"город Москва, Изюмская улица, дом 36"
72,,,"город Москва, улица Исаковского, дом 6, корпус 2"
73,,,"город Москва, 3-й Митинский переулок, дом 3"
74,,,"город Москва, Дегунинская улица, дом 13, строение 3"
75,,,"город Москва, Кировоградская улица, дом 9, корпус 1"
76,,,"город Москва, улица Подольских Курсантов, дом 10"
77,,,"город Москва, Россошанский проезд, дом 8"
78,,,"город Москва, Фрунзенская набережная, дом 30, строение 2"
79,,,"город Москва, Спартаковская улица, дом 24"
80,,,"город Москва, Пятницкое шоссе, дом 21, корпус 1"
81,,,"город Москва, улица Бутырский Вал, дом 28"
82,,,"город Москва, Братиславская улица, дом 30"
83,,,"город Москва, проспект Маршала Жукова, дом 42, строение 1"
84,,,"город Москва, улица Генерала Белова, дом 59"
85,,,"город Москва, Ленинградское шоссе, дом 58, строение 26"
86,,,"город Москва, улица Линии Октябрьской Железной Дороги, дом 2, строение 2"
87,,,"город Москва, улица Сущёвский Вал, дом 31, строение 1"
88,,,"город Москва, Озёрная улица, дом 42"
89,,,"город Москва, улица Талалихина, дом 3, строение 2"
90,,,"город Москва, Измайловский проезд, дом 3, корпус 2"
91,,,"город Москва, улица Народного Ополчения, дом 29, корпус 1"
92,,,"город Москва, Хабаровская улица, дом 12/23"
93,,,"город Москва, город Зеленоград, Савёлкинский проезд, дом 8"
94,,,"город Москва, Харьковская улица, дом 2"
