,latitude,longitude,address
0,,,"город Москва, Каширское шоссе, дом 53, корпус 6"
1,,,"город Москва, Скобелевская улица, дом 4"
2,,,"город Москва, Новодевичий проезд, дом 2"
3,,,"город Москва, Верхняя Первомайская улица, дом 61"
4,,,"город Москва, Марксистская улица, дом 9"
5,,,"город Москва, Профсоюзная улица, дом 152, корпус 2, строение 2"
6,,,"город Москва, город Троицк, дом 56"
7,,,"город Москва, Нахимовский проспект, дом 57"
8,,,"город Москва, Зюзинская улица, дом 3"
9,,,"город Москва, Большая Семёновская улица, дом 27, корпус 1"
10,,,"город Москва, Абрамцевская улица, дом 1"
11,,,"город Москва, Авангардная улица, дом 12"
12,,,"город Москва, Авиамоторная улица, дом 47"
13,,,"город Москва, Авиационная улица, дом 67, корпус 1"
14,,,"город Москва, Автозаводская улица, дом 4"
15,,,"город Москва, Автозаводская улица, дом 5"
16,,,"город Москва, Большая Академическая улица, дом 73, корпус 1"
17,,,"город Москва, улица Амундсена, дом 1, корпус 1"
18,,,"город Москва, Анадырский проезд, дом 21"
19,,,"город Москва, улица Академика Анохина, дом 42, корпус 2"
20,,,"город Москва, Астраханский переулок, дом 5"
21,,,"город Москва, улица Лётчика Бабушкина, дом 10/1"
22,,,"город Москва, улица Лётчика Бабушкина, дом 37, корпус 1"
23,,,"город Москва, Байкальская улица, дом 31"
24,,,"город Москва, Балаклавский проспект, дом 54"
25,,,"город Москва, Батюнинская улица, дом 1"
26,,,"город Москва, Башиловская улица, дом 6"
27,,,"город Москва, улица Маршала Бирюзова, дом 12"
28,,,"город Москва, проспект Будённого, дом 47"
29,,,"город Москва, улица Бутлерова, дом 24"
30,,,"город Москва, улица Бутырский Вал, дом 52"
31,,,"город Москва, Варшавское шоссе, дом 65, корпус 2"
32,,,"город Москва, Варшавское шоссе, дом 74, корпус 2"
33,,,"город Москва, Варшавское шоссе, дом 100"
34,,,"город Москва, Велозаводская улица, дом 11/1"
35,,,"город Москва, Вешняковская улица, дом 2"
36,,,"город Москва, улица Вилиса Лациса, дом 13, корпус 1"
37,,,"город Москва, 1-я Владимирская улица, дом 21"
38,,,"город Москва, 2-я Владимирская улица, дом 34"
39,,,"город Москва, 2-я Владимирская улица, дом 37, корпус 1"
40,,,"город Москва, 2-я Владимирская улица, дом 42"
41,,,"город Москва, 2-я Владимирская улица, дом 52, корпус 2"
42,,,"город Москва, 3-я Владимирская улица, дом 11"
43,,,"город Москва, улица Вучетича, дом 5"
44,,,"город Москва, улица Вучетича, дом 19"
45,,,"город Москва, улица Габричевского, дом 10, корпус 4"
46,,,"город Москва, улица Бориса Галушкина, дом 12"
47,,,"город Москва, Гвардейская улица, дом 5, корпус 1"
48,,,"город Москва, 2-я Песчаная улица, дом 3"
49,,,"город Москва, улица Госпитальный Вал, дом 8/1"
50,,,"город Москва, 3-я Гражданская улица, дом 70"
51,,,"город Москва, улица Гришина, дом 5"
52,,,"город Москва, Большая Грузинская улица, дом 39"
53,,,"город Москва, Дмитровское шоссе, дом 37, корпус 1"
54,,,"город Москва, Дмитровское шоссе, дом 46, корпус 1"
55,,,"город Москва, Дмитровское шоссе, дом 51, корпус 1"
56,,,"город Москва, Дмитровское шоссе, дом 151, корпус 5"
57,,,"город Москва, Большая Дорогомиловская улица, дом 10"
58,,,"город Москва, улица Подольских Курсантов, дом 2, корпус 1"
59,,,"город Москва, Дубнинская улица, дом 1"
60,,,"город Москва, Енисейская улица, дом 33"
61,,,"город Москва, проспект Маршала Жукова, дом 19, корпус 1"
62,,,"город Москва, Родниковая улица, дом 20"
63,,,"город Москва, Зеленодольская улица, дом 32, корпус 3"
64,,,"город Москва, Зелёный проспект, дом 39, корпус 1"
65,,,"город Москва, улица Исаковского, дом 6, корпус 1"
66,,,"город Москва, улица Искры, дом 9А"
67,,,"город Москва, Авиамоторная улица, дом 22/12"
68,,,"город Москва, улица Большие Каменщики, дом 15"
69,,,"город Москва, Кантемировская улица, дом 12, корпус 1"
70,,,"город Москва, Пролетарский проспект, дом 14/49, корпус 1"
71,,,"город Москва, 4-й квартал Капотня, дом 3"
72,,,"город Москва, Карамышевская набережная, дом 26, корпус 1"
73,,,"город Москва, Каширское шоссе, дом 7, корпус 1"
74,,,"город Москва, Каширское шоссе, дом 142, корпус 1"
75,,,"город Москва, Большой Златоустинский переулок, дом 3/5, строение 1"
76,,,"город Москва, Комсомольский проспект, дом 33/11"
77,,,"город Москва, улица Конёнкова, дом 19"
78,,,"город Москва, улица Коновалова, дом 5"
79,,,"город Москва, Коптевская улица, дом 16, корпус 2"
80,,,"город Москва, улица Корнейчука, дом 54"
81,,,"город Москва, Коровинское шоссе, дом 5, корпус 1"
82,,,"город Москва, улица Академика Королёва, дом 14"
83,,,"город Москва, улица Академика Королёва, дом 28, корпус 1"
84,,,"город Москва, улица Павла Корчагина, дом 11"
85,,,"город Москва, Краснобогатырская улица, дом 75, корпус 1"
86,,,"город Москва, Верхняя Красносельская улица, дом 8, корпус 3"
87,,,"город Москва, Красностуденческий проезд, дом 2"
88,,,"город Москва, улица Кржижановского, дом 24/35, корпус 3"
89,,,"город Москва, Большой Купавенский проезд, дом 4"
90,,,"город Москва, Малый Купавенский проезд, дом 5, корпус 1"
91,,,"город Москва, улица Лазо, дом 14, корпус 2"
92,,,"город Москва, Лазоревый проезд, дом 22"
93,,,"город Москва, Ленинградский проспект, дом 77, корпус 3"
94,,,"город Москва, Ленинский проспект, дом 34/1"
95,,,"город Москва, Ленинский проспект, дом 73/8"
96,,,"город Москва, Ленинский проспект, дом 81/2"
97,,,"город Москва, Лесная улица, дом 45"
98,,,"город Москва, Локомотивный проезд, дом 29"
99,,,"город Москва, Ломоносовский проспект, дом 34"
100,,,"город Москва, Люблинская улица, дом 7/2, корпус 1"
101,,,"город Москва, Люблинская улица, дом 54/3"
102,,,"город Москва, Мартеновская улица, дом 9/13"
103,,,"город Москва, Мартеновская улица, дом 22, корпус 1"
104,,,"город Москва, улица Нижняя Масловка, дом 8"
105,,,"город Москва, улица Менжинского, дом 23, корпус 1"
106,,,"город Москва, Мещанская улица, дом 10"
107,,,"город Москва, улица Миклухо-Маклая, дом 18/1"
108,,,"город Москва, проспект Мира, дом 99"
109,,,"город Москва, проспект Мира, дом 110/2"
110,,,"город Москва, проспект Мира, дом 133"
111,,,"город Москва, Михалковская улица, дом 13"
112,,,"город Москва, 3-й Михалковский переулок, дом 15"
113,,,"город Москва, улица Мнёвники, дом 10, корпус 1"
114,,,"город Москва, улица Молостовых, дом 14, корпус 1"
115,,,"город Москва, улица Молостовых, дом 19, корпус 1"
116,,,"город Москва, Мытная улица, дом 52"
117,,,"город Москва, Нагорная улица, дом 34, корпус 1"
118,,,"город Москва, улица Народного Ополчения, дом 21, корпус 1"
119,,,"город Москва, улица Народного Ополчения, дом 29, корпус 1"
120,,,"город Москва, Нежинская улица, дом 13"
121,,,"город Москва, Нижегородская улица, дом 72/2"
122,,,"город Москва, Новогиреевская улица, дом 10, корпус 1"
123,,,"город Москва, Новокузнецкая улица, дом 13, строение 1"
124,,,"город Москва, Новопетровская улица, дом 14"
125,,,"город Москва, 2-й Новоподмосковный переулок, дом 8"
126,,,"город Москва, Новопоселковая улица, дом 15"
127,,,"город Москва, Новорогожская улица, дом 11, корпус 2"
128,,,"город Москва, Новохорошёвский проезд, дом 18"
129,,,"город Москва, Новочерёмушкинская улица, дом 11, корпус 2"
130,,,"город Москва, Онежская улица, дом 13"
131,,,"город Москва, Открытое шоссе, дом 21, корпус 13"
132,,,"город Москва, улица Академика Павлова, дом 6"
133,,,"город Москва, Паромная улица, дом 11/31"
134,,,"город Москва, Первомайская улица, дом 5"
135,,,"город Москва, Первомайская улица, дом 44/20"
136,,,"город Москва, Первомайская улица, дом 100"
137,,,"город Москва, Верхняя Первомайская улица, дом 29"
138,,,"город Москва, Перовская улица, дом 33, корпус 1"
139,,,"город Москва, Перовская улица, дом 60, корпус 1"
140,,,"город Москва, Петрозаводская улица, дом 1"
141,,,"город Москва, Малая Пироговская улица, дом 21"
142,,,"город Москва, улица Плещеева, дом 12"
143,,,"город Москва, Подъёмная улица, дом 10"
144,,,"город Москва, улица Марии Поливановой, дом 2/19"
145,,,"город Москва, Полоцкая улица, дом 10"
146,,,"город Москва, Полярная улица, дом 4, корпус 1"
147,,,"город Москва, Полярная улица, дом 14"
148,,,"город Москва, Просторная улица, дом 14, корпус 1"
149,,,"город Москва, Профсоюзная улица, дом 88/20"
150,,,"город Москва, Профсоюзная улица, дом 98, корпус 1"
151,,,"город Москва, Профсоюзная улица, дом 138"
152,,,"город Москва, 3-я Прядильная улица, дом 1"
153,,,"город Москва, 3-я Радиаторская улица, дом 11"
154,,,"город Москва, бульвар Яна Райниса, дом 8"
155,,,"город Москва, бульвар Яна Райниса, дом 23"
156,,,"город Москва, улица Раменки, дом 16"
157,,,"город Москва, улица Расплетина, дом 2"
158,,,"город Москва, Россошанская улица, дом 2, корпус 1"
