,latitude,longitude,address
77,,,"город Москва, Пятницкое шоссе, дом 18"
78,,,"город Москва, улица Паустовского, дом 5, корпус 1"
79,,,"город Москва, Тимирязевская улица, дом 10/12"
80,,,"город Москва, Синельниковская улица, дом 45А"
81,,,"город Москва, улица Лескова, дом 26А"
82,,,"город Москва, Онежская улица, дом 34, корпус 1"
83,,,"город Москва, улица Короленко, дом 7, корпус 1"
84,,,"город Москва, Кусковская улица, дом 21, корпус 1"
85,,,"город Москва, улица Серпуховский Вал, дом 6"
86,,,"город Москва, Средняя Первомайская улица, дом 28"
87,,,"город Москва, улица Паперника, дом 13"
88,,,"город Москва, Суздальская улица, дом 26А"
89,,,"город Москва, улица Полбина, дом 6"
90,,,"город Москва, улица Гурьянова, дом 9"
91,,,"город Москва, Бескудниковский бульвар, дом 20А"
92,,,"город Москва, улица Лефортовский Вал, дом 7"
93,,,"город Москва, Большая Академическая улица, дом 24, корпус 2"
94,,,"город Москва, Большая Академическая улица, дом 57"
95,,,"город Москва, Большая Академическая улица, дом 77, корпус 1"
96,,,"город Москва, Алтайская улица, дом 33/7"
97,,,"город Москва, Ангарская улица, дом 39"
98,,,"город Москва, Ангарская улица, дом 69"
99,,,"город Москва, проспект Андропова, дом 26"
100,,,"город Москва, Армавирская улица, дом 27/23"
101,,,"город Москва, улица Академика Арцимовича, дом 13"
102,,,"город Москва, улица Лётчика Бабушкина, дом 33, корпус 4"
103,,,"город Москва, улица Генерала Белова, дом 51, корпус 1А"
104,,,"город Москва, Бирюлёвская улица, дом 5, корпус 1"
105,,,"город Москва, Болотниковская улица, дом 47, корпус 1"
106,,,"город Москва, улица Борисовские Пруды, дом 18, корпус 3"
107,,,"город Москва, Боровский проезд, дом 2"
108,,,"город Москва, Будайский проезд, дом 7, корпус 1"
109,,,"город Москва, улица Бутырский Вал, дом 32"
110,,,"город Москва, Варшавское шоссе, дом 90, корпус 1"
111,,,"город Москва, Велозаводская улица, дом 3/2"
112,,,"город Москва, Велозаводская улица, дом 3/2"
113,,,"город Москва, Верхоянская улица, дом 10"
114,,,"город Москва, Весенняя улица, дом 10"
115,,,"город Москва, улица Винокурова, дом 24, корпус 4"
116,,,"город Москва, 2-я Владимирская улица, дом 44/10"
117,,,"город Москва, 3-я Владимирская улица, дом 3, корпус 1"
118,,,"город Москва, 3-я Владимирская улица, дом 25, корпус 1"
119,,,"город Москва, 3-я Владимирская улица, дом 27"
120,,,"город Москва, Волгоградский проспект, дом 185/19"
121,,,"город Москва, Волжский бульвар, дом 2/22"
122,,,"город Москва, улица Космонавта Волкова, дом 7"
123,,,"город Москва, Волоколамское шоссе, дом 45"
124,,,"город Москва, Таможенный проезд, дом 1/9"
125,,,"город Москва, улица Гастелло, дом 41"
126,,,"город Москва, улица Героев Панфиловцев, дом 41, корпус 1"
127,,,"город Москва, улица Генерала Глаголева, дом 30, корпус 4"
128,,,"город Москва, улица Гришина, дом 25"
129,,,"город Москва, улица 26-ти Бакинских Комиссаров, дом 7, корпус 4"
130,,,"город Москва, Дмитровское шоссе, дом 29, корпус 1"
131,,,"город Москва, Дмитровское шоссе, дом 131, корпус 1"
132,,,"город Москва, проезд Донелайтиса, дом 19"
133,,,"город Москва, Дубнинская улица, дом 10, корпус 1"
134,,,"город Москва, улица Дыбенко, дом 44"
135,,,"город Москва, бульвар Матроса Железняка, дом 9"
136,,,"город Москва, Зеленодольская улица, дом 9, корпус 2"
137,,,"город Москва, Зеленодольская улица, дом 14, корпус 1"
138,,,"город Москва, Зеленодольская улица, дом 32, корпус 3"
139,,,"город Москва, Большая Татарская улица, дом 36"
140,,,"город Москва, Измайловский бульвар, дом 18"
141,,,"город Москва, Изумрудная улица, дом 4"
142,,,"город Москва, Изумрудная улица, дом 20"
143,,,"город Москва, 1-й Институтский проезд, дом 14"
144,,,"город Москва, улица Исаковского, дом 33, корпус 3"
145,,,"город Москва, 5-й квартал Капотня, дом 15"
146,,,"город Москва, Карамышевская набережная, дом 10, корпус 1"
147,,,"город Москва, Каргопольская улица, дом 14, корпус 1"
148,,,"город Москва, Кировоградская улица, дом 8, корпус 2"
149,,,"город Москва, Кировоградская улица, дом 42"
150,,,"город Москва, улица Софьи Ковалевской, дом 4"
151,,,"город Москва, 5-я Кожуховская улица, дом 14"
152,,,"город Москва, Коровинское шоссе, дом 13, корпус 1"
153,,,"город Москва, улица Космонавтов, дом 26"
154,,,"город Москва, улица Кравченко, дом 18"
155,,,"город Москва, Красногвардейский бульвар, дом 3, строение 1"
156,,,"город Москва, 2-й Красногвардейский проезд, дом 10"
157,,,"город Москва, улица Красного Маяка, дом 10"
158,,,"город Москва, Кунцевская улица, дом 13/6"
159,,,"город Москва, Кусковская улица, дом 1"
160,,,"город Москва, Ленинградский проспект, дом 77, корпус 1"
161,,,"город Москва, Ленинский проспект, дом 102"
162,,,"город Москва, Ленинский проспект, дом 152"
163,,,"город Москва, улица Лескова, дом 10В"
164,,,"город Москва, улица Лихоборские Бугры, дом 8"
165,,,"город Москва, улица Лобачика, дом 23, корпус 1"
166,,,"город Москва, Люблинская улица, дом 113А"
167,,,"город Москва, Люблинская улица, дом 147"
168,,,"город Москва, Магнитогорская улица, дом 7"
169,,,"город Москва, Мастеровая улица, дом 17/1, корпус 2"
170,,,"город Москва, улица Металлургов, дом 17"
171,,,"город Москва, проспект Мира, дом 194"
172,,,"город Москва, Михалковская улица, дом 24"
173,,,"город Москва, Молодогвардейская улица, дом 29, корпус 1"
174,,,"город Москва, улица Молостовых, дом 17, корпус 1"
175,,,"город Москва, Маломосковская улица, дом 31"
176,,,"город Москва, Мукомольный проезд, дом 9, корпус 1"
177,,,"город Москва, Мурановская улица, дом 6"
178,,,"город Москва, Люсиновская улица, дом 68"
179,,,"город Москва, Нагатинская набережная, дом 20, корпус 2"
180,,,"город Москва, улица Народного Ополчения, дом 23, корпус 1"
181,,,"город Москва, Новогиреевская улица, дом 31/45"
182,,,"город Москва, Новопетровская улица, дом 14"
183,,,"город Москва, Новороссийская улица, дом 16, корпус 2"
184,,,"город Москва, Новочерёмушкинская улица, дом 24"
185,,,"город Москва, Новочеркасский бульвар, дом 51"
186,,,"город Москва, Новочеркасский бульвар, дом 51"
187,,,"город Москва, улица Академика Павлова, дом 10"
188,,,"город Москва, Палехская улица, дом 131А"
189,,,"город Москва, Палехская улица, дом 131А"
190,,,"город Москва, Палехская улица, дом 147"
191,,,"город Москва, 1-я Парковая улица, дом 4"
192,,,"город Москва, 15-я Парковая улица, дом 40, корпус 5"
193,,,"город Москва, 16-я Парковая улица, дом 45"
194,,,"город Москва, улица Паустовского, дом 5, корпус 1"
195,,,"город Москва, город Зеленоград, улица 1 Мая, дом 2"
