,latitude,longitude,address
0,,,"город Москва, Профсоюзная улица, дом 61А"
1,,,"город Москва, улица Охотный Ряд, дом 2"
2,,,"город Москва, Пресненская набережная, дом 2"
3,,,"город Москва, Профсоюзная улица, дом 61А"
4,,,"город Москва, улица Охотный Ряд, дом 2"
5,,,"город Москва, Пресненская набережная, дом 2"
6,,,"город Москва, Профсоюзная улица, дом 61А"
7,,,"город Москва, улица Охотный Ряд, дом 2"
8,,,"город Москва, Пресненская набережная, дом 2"
9,,,"город Москва, Профсоюзная улица, дом 61А"
10,,,"город Москва, улица Охотный Ряд, дом 2"
11,,,"город Москва, Пресненская набережная, дом 2"
12,,,"город Москва, Профсоюзная улица, дом 61А"
13,,,"город Москва, улица Охотный Ряд, дом 2"
14,,,"город Москва, Пресненская набережная, дом 2"
15,,,"город Москва, Профсоюзная улица, дом 61А"
16,,,"город Москва, улица Охотный Ряд, дом 2"
17,,,"город Москва, Пресненская набережная, дом 2"
18,,,"город Москва, Лубянский проезд, дом 15, строение 2"
19,,,"город Москва, 1-я Тверская-Ямская улица, дом 2, сооружение 1"
20,,,"город Москва, Воротынская улица, дом 18"
21,,,"город Москва, улица Грузинский Вал, дом 28/45"
22,,,"город Москва, Боровское шоссе, дом 6"
23,,,"город Москва, улица Маршала Бирюзова, дом 4, корпус 1"
24,,,"город Москва, улица Арбат, дом 27/47"
25,,,"город Москва, Протопоповский переулок, дом 3"
26,,,"город Москва, Борисовский проезд, дом 3, корпус 1"
27,,,"город Москва, Валовая улица, дом 11/19"
28,,,"город Москва, улица Маршала Василевского, дом 3, корпус 1"
29,,,"город Москва, улица Академика Волгина, дом 25, корпус 1"
30,,,"город Москва, Волгоградский проспект, дом 1, строение 1"
31,,,"город Москва, 1-й Вражский переулок, дом 4"
32,,,"город Москва, Тверская улица, дом 6, строение 1"
33,,,"город Москва, Тверская улица, дом 19А"
34,,,"город Москва, Большая Дорогомиловская улица, дом 8"
35,,,"город Москва, Дубининская улица, дом 2"
36,,,"город Москва, Дубнинская улица, дом 30, корпус 1"
37,,,"город Москва, Большой Каретный переулок, дом 20, строение 1"
38,,,"город Москва, Заревый проезд, дом 14/12"
39,,,"город Москва, улица Академика Капицы, дом 34/121"
40,,,"город Москва, 2-й Карачаровский проезд, дом 2"
41,,,"город Москва, улица Кибальчича, дом 12, корпус 2"
42,,,"город Москва, Краснохолмская набережная, дом 13, строение 1"
43,,,"город Москва, Кривоколенный переулок, дом 9, строение 1"
44,,,"город Москва, Кутузовский проспект, дом 9, корпус 1"
45,,,"город Москва, Кутузовский проспект, дом 27"
46,,,"город Москва, Кутузовский проспект, дом 30"
47,,,"город Москва, Ладожская улица, дом 13"
48,,,"город Москва, Ленинский проспект, дом 39/1"
49,,,"город Москва, Ленинский проспект, дом 40"
50,,,"город Москва, Ленинский проспект, дом 99"
51,,,"город Москва, Лесная улица, дом 35/2"
52,,,"город Москва, Липецкая улица, дом 16/14"
53,,,"город Москва, Марксистская улица, дом 1, корпус 1"
54,,,"город Москва, Можайское шоссе, дом 31, корпус 1"
55,,,"город Москва, улица Большая Молчановка, дом 23, строение 1"
56,,,"город Москва, Нижегородская улица, дом 2, корпус 1"
57,,,"город Москва, Новорязанская улица, дом 2/7"
58,,,"город Москва, Новочерёмушкинская улица, дом 26"
59,,,"город Москва, Онежская улица, дом 34, корпус 2"
60,,,"город Москва, улица Остоженка, дом 40/1"
61,,,"город Москва, улица Петровка, дом 21, строение 1"
62,,,"город Москва, улица Большая Полянка, дом 28, корпус 1"
63,,,"город Москва, улица Правды, дом 4"
64,,,"город Москва, улица Свободы, владение 75, корпус 1"
65,,,"город Москва, Славянский бульвар, дом 9, корпус 1"
66,,,"город Москва, Староконюшенный переулок, дом 5/14"
67,,,"город Москва, проезд Стратонавтов, дом 11, строение 1"
68,,,"город Москва, Трубная улица, дом 26, корпус 1"
69,,,"город Москва, Сходненская улица, дом 25"
70,,,"город Москва, Волгоградский проспект, дом 98, корпус 2"
71,,,"город Москва, Тихвинская улица, дом 3, корпус 1"
72,,,"город Москва, Большая Тульская улица, дом 2"
73,,,"город Москва, Университетский проспект, дом 6, корпус 3"
74,,,"город Москва, Малая Филёвская улица, дом 12, корпус 1"
75,,,"город Москва, 2-я Филёвская улица, дом 14"
76,,,"город Москва, 3-я Фрунзенская улица, дом 3"
77,,,"город Москва, Фрязевская улица, дом 3, корпус 1"
78,,,"город Москва, улица Маросейка, дом 10/1, строение 1"
79,,,"город Москва, Новинский бульвар, дом 12"
80,,,"город Москва, улица Черняховского, дом 5, корпус 2"
81,,,"город Москва, улица Земляной Вал, дом 2"
82,,,"город Москва, улица Земляной Вал, дом 34, строение 4"
83,,,"город Москва, улица Земляной Вал, дом 48А"
84,,,"город Москва, Шелепихинская набережная, дом 18"
85,,,"город Москва, улица Яблочкова, дом 19"
86,,,"город Москва, город Зеленоград, корпус 406"
87,,,"город Москва, улица Лобачевского, дом 2"
88,,,"город Москва, улица Милашенкова, дом 8"
89,,,"город Москва, Широкая улица, дом 9, корпус 1"
90,,,"город Москва, Боровское шоссе, дом 46"
91,,,"город Москва, Керамический проезд, дом 51, корпус 2"
92,,,"город Москва, улица Скульптора Мухиной, дом 12"
93,,,"город Москва, Долгоруковская улица, дом 2"
94,,,"город Москва, Ангелов переулок, дом 7"
95,,,"город Москва, Жулебинский бульвар, дом 6/11"
96,,,"город Москва, Мячковский бульвар, дом 18, корпус 1"
97,,,"город Москва, проспект Мира, дом 33, корпус 1"
98,,,"город Москва, улица Образцова, дом 3"
99,,,"город Москва, улица Генерала Кузнецова, дом 25, корпус 1"
100,,,"город Москва, Братиславская улица, дом 12"
101,,,"город Москва, Братиславская улица, дом 27, корпус 1"
102,,,"город Москва, Венёвская улица, дом 15"
103,,,"город Москва, улица Адмирала Лазарева, дом 52"
104,,,"город Москва, улица Генерала Тюленева, дом 25, корпус 1"
105,,,"город Москва, улица Улофа Пальме, дом 1"
106,,,"город Москва, Мосфильмовская улица, дом 70"
107,,,"город Москва, Митинская улица, дом 21"
108,,,"город Москва, улица Генерала Белобородова, дом 14, корпус 1"
109,,,"город Москва, Зелёный проспект, дом 42"
110,,,"город Москва, Краснопрудная улица, дом 13"
111,,,"город Москва, Ботаническая улица, дом 17, корпус 2"
112,,,"город Москва, Погонный проезд, дом 3А"
113,,,"город Москва, Первомайская улица, дом 42"
114,,,"город Москва, город Троицк, Городская улица, дом 26"
115,,,"город Москва, город Щербинка, Железнодорожная улица, дом 22А"
116,,,"город Москва, Совхозная улица, дом 41"
117,,,"город Москва, Мичуринский проспект, дом 3"
118,,,"город Москва, улица Ватутина, дом 9"
119,,,"город Москва, проспект Маршала Жукова, дом 59"
120,,,"город Москва, Соколово-Мещерская улица, дом 29"
121,,,"город Москва, Болотниковская улица, дом 30"
122,,,"город Москва, Ялтинская улица, дом 2"
123,,,"город Москва, микрорайон Северное Чертаново, дом 1А"
124,,,"город Москва, Шмитовский проезд, дом 16, строение 2"
125,,,"город Москва, улица Шаболовка, дом 10, корпус 1"
126,,,"город Москва, город Щербинка, Юбилейная улица, дом 3"
127,,,"город Москва, поселение Сосенское, посёлок Коммунарка, Лазурная улица, дом 3"
128,,,"город Москва, Ленинградский проспект, дом 80, корпус 17"
129,,,"город Москва, улица Вавилова, дом 66"
130,,,"город Москва, улица Новаторов, дом 40, корпус 16"
131,,,"город Москва, улица Зацепский Вал, дом 4, строение 2"
132,,,"город Москва, улица Коровий Вал, дом 1А, строение 1"
133,,,"город Москва, Полярная улица, дом 21"
134,,,"город Москва, проезд Дежнёва, дом 23"
135,,,"город Москва, улица Сущёвский Вал, дом 46"
136,,,"город Москва, Таллинская улица, дом 7"
137,,,"город Москва, город Зеленоград, площадь Юности, дом 2, строение 1"
138,,,"город Москва, Медынская улица, дом 7"
139,,,"город Москва, Большая Серпуховская улица, дом 21"
140,,,"город Москва, Ясногорская улица, дом 2"
141,,,"город Москва, улица Генерала Тюленева, дом 2"
142,,,"город Москва, Голубинская улица, дом 28"
143,,,"город Москва, улица Миклухо-Маклая, дом 37"
144,,,"город Москва, улица Маршала Федоренко, дом 12"
145,,,"город Москва, Новослободская улица, дом 34/2"
146,,,"город Москва, Россошанский проезд, дом 3"
147,,,"город Москва, улица Героев-Панфиловцев, дом 7"
148,,,"город Москва, Строгинский бульвар, дом 1, корпус 2"
149,,,"город Москва, город Зеленоград, корпус 124, строение 1"
150,,,"город Москва, Люсиновская улица, дом 70, строение 1"
151,,,"город Москва, улица Малыгина, дом 7"
152,,,"город Москва, улица Римского-Корсакова, дом 20"
153,,,"город Москва, улица Покрышкина, дом 5"
154,,,"город Москва, улица Раменки, дом 3"
155,,,"город Москва, Боровское шоссе, дом 35"
156,,,"город Москва, Зубовский бульвар, дом 17, строение 1"
157,,,"город Москва, Саянская улица, дом 8А"
158,,,"город Москва, Вешняковская улица, дом 18"
159,,,"город Москва, Щербаковская улица, дом 7А"
160,,,"город Москва, Луганская улица, дом 5"
161,,,"город Москва, Домодедовская улица, дом 28"
162,,,"город Москва, Домодедовская улица, дом 12"
163,,,"город Москва, Кантемировская улица, дом 6, корпус 1"
164,,,"город Москва, Шипиловская улица, дом 50, корпус 1"
165,,,"город Москва, Пролетарский проспект, дом 19, корпус 1"
166,,,"город Москва, Елецкая улица, дом 15"
167,,,"город Москва, Кустанайская улица, дом 6"
168,,,"город Москва, Коломенская улица, дом 7"
169,,,"город Москва, Сельскохозяйственная улица, дом 17, корпус 1"
170,,,"город Москва, Осенний бульвар, дом 12, корпус 1"
171,,,"город Москва, улица Новый Арбат, дом 15"
172,,,"город Москва, Зеленодольская улица, дом 40"
173,,,"город Москва, улица Паперника, дом 9"
174,,,"город Москва, Рязанский проспект, дом 28, строение 1"
175,,,"город Москва, Совхозная улица, дом 8, корпус 1"
176,,,"город Москва, Шоссейная улица, дом 34, строение 1"
177,,,"город Москва, улица Юных Ленинцев, дом 12"
178,,,"город Москва, улица Мусы Джалиля, дом 6, корпус 2"
179,,,"город Москва, Липецкая улица, дом 7А"
180,,,"город Москва, Щёлковское шоссе, дом 2А"
181,,,"город Москва, Тимирязевская улица, дом 2/3"
182,,,"город Москва, Голубинская улица, дом 5, корпус 1"
183,,,"город Москва, Литовский бульвар, дом 22"
184,,,"город Москва, Алтуфьевское шоссе, дом 95"
185,,,"город Москва, улица Намёткина, дом 3"
186,,,"город Москва, Скобелевская улица, дом 24"
187,,,"город Москва, улица Плещеева, дом 4"
188,,,"город Москва, Алтуфьевское шоссе, дом 40Д"
189,,,"город Москва, улица Пришвина, дом 22"
190,,,"город Москва, Алтуфьевское шоссе, дом 70, корпус 1"
191,,,"город Москва, Шереметьевская улица, дом 6, корпус 1"
192,,,"город Москва, Енисейская улица, дом 19, корпус 1"
193,,,"город Москва, проезд Дежнёва, дом 21"
194,,,"город Москва, Хабаровская улица, дом 15, строение 1"
195,,,"город Москва, Открытое шоссе, дом 9, строение 1"
196,,,"город Москва, Сокольническая площадь, дом 9А"
197,,,"город Москва, Новокосинская улица, дом 14А"
198,,,"город Москва, Свободный проспект, дом 33"
199,,,"город Москва, Вешняковская улица, дом 22А"
200,,,"город Москва, Измайловское шоссе, дом 71А"
201,,,"город Москва, Большая Семёновская улица, дом 16"
202,,,"город Москва, Перовская улица, дом 61А"
203,,,"город Москва, Сормовская улица, дом 6"
204,,,"город Москва, Лермонтовский проспект, дом 19, корпус 1"
205,,,"город Москва, улица Маршала Полубоярова, дом 16, корпус 1"
206,,,"город Москва, Люблинская улица, дом 169, корпус 2"
207,,,"город Москва, Сухонская улица, дом 9А"
208,,,"город Москва, Ленинский проспект, дом 123, корпус 2"
209,,,"город Москва, улица Паустовского, дом 6, корпус 1"
210,,,"город Москва, улица Вавилова, дом 69/75"
211,,,"город Москва, улица Гарибальди, дом 23"
212,,,"город Москва, улица Новаторов, владение 16, строение 1"
213,,,"город Москва, Профсоюзная улица, дом 61А"
214,,,"город Москва, Профсоюзная улица, дом 61А"
215,,,"город Москва, улица Островитянова, дом 7"
216,,,"город Москва, Новоясеневский проспект, дом 11"
217,,,"город Москва, Азовская улица, дом 24, корпус 3"
218,,,"город Москва, Ленинский проспект, дом 109"
219,,,"город Москва, Профсоюзная улица, дом 118"
220,,,"город Москва, бульвар Адмирала Ушакова, дом 7"
221,,,"город Москва, улица Адмирала Лазарева, дом 24"
222,,,"город Москва, Куликовская улица, дом 6"
223,,,"город Москва, Летниковская улица, дом 4, строение 5"
224,,,"город Москва, улица Удальцова, дом 42"
225,,,"город Москва, улица Удальцова, дом 85, корпус 5"
226,,,"город Москва, улица Академика Анохина, дом 58"
227,,,"город Москва, Нежинская улица, дом 6, корпус 1"
228,,,"город Москва, Смоленская площадь, дом 3"
229,,,"город Москва, Минская улица, дом 14-А"
230,,,"город Москва, Кутузовский проспект, дом 88"
231,,,"город Москва, Кутузовский проспект, дом 88"
232,,,"город Москва, площадь Киевского Вокзала, дом 2"
233,,,"город Москва, улица Маршала Катукова, дом 25"
234,,,"город Москва, Пятницкое шоссе, дом 3"
235,,,"город Москва, улица Маршала Бирюзова, дом 32"
236,,,"город Москва, проспект Маршала Жукова, дом 78, корпус 3"
237,,,"город Москва, Планерная улица, дом 7"
238,,,"город Москва, Сходненская улица, дом 56"
239,,,"город Москва, Дмитровское шоссе, дом 13, корпус 1"
240,,,"город Москва, Лобненская улица, дом 4А"
241,,,"город Москва, Ленинградское шоссе, дом 16А, строение 4"
242,,,"город Москва, Ленинградский проспект, дом 31А, строение 1"
243,,,"город Москва, улица Авиаконструктора Микояна, дом 12"
244,,,"город Москва, Фестивальная улица, дом 2Б"
245,,,"город Москва, Дмитровское шоссе, дом 89"
246,,,"город Москва, город Зеленоград, корпус 900"
247,,,"город Москва, город Зеленоград, корпус 1446"
248,,,"город Москва, город Зеленоград, корпус 1549"
249,,,"город Москва, улица Ленинская Слобода, дом 19"
250,,,"город Москва, проспект Андропова, дом 22"
251,,,"город Москва, Варшавское шоссе, дом 124, корпус 1"
252,,,"город Москва, улица Академика Янгеля, дом 8А"
253,,,"город Москва, Востряковский проезд, дом 17А"
254,,,"город Москва, Кавказский бульвар, дом 26"
255,,,"город Москва, Дербеневская набережная, дом 7, строение 22"
256,,,"город Москва, Ореховый бульвар, дом 15, строение 1"
257,,,"город Москва, Нагатинская улица, дом 16"
258,,,"город Москва, Варшавское шоссе, дом 87Б"
259,,,"город Москва, Бирюлёвская улица, дом 51, корпус 1"
260,,,"город Москва, Артековская улица, дом 1А"
261,,,"город Москва, Каспийская улица, дом 30, корпус 6А"
262,,,"город Москва, Варшавское шоссе, дом 160"
263,,,"город Москва, Варшавское шоссе, дом 9, строение 1Б"
264,,,"город Москва, Боровское шоссе, дом 6"
265,,,"город Москва, Воронцовская улица, дом 35Б, корпус 3"
266,,,"город Москва, Никольская улица, дом 25"
267,,,"город Москва, Новослободская улица, дом 4"
268,,,"город Москва, улица Земляной Вал, дом 33"
269,,,"город Москва, 3-й Крутицкий переулок, дом 18"
270,,,"город Москва, Волгоградский проспект, дом 18, строение 1"
271,,,"город Москва, улица Золоторожский Вал, дом 42"
272,,,"город Москва, Столярный переулок, дом 3, корпус 6"
273,,,"город Москва, набережная Академика Туполева, дом 15, корпус 4"
274,,,"город Москва, улица Охотный Ряд, дом 2"
275,,,"город Москва, Шлюзовая набережная, дом 4"
276,,,"город Москва, 1-й Смоленский переулок, дом 21"
277,,,"город Москва, Верхняя Сыромятническая улица, дом 7, строение 10"
278,,,"город Москва, Пресненская набережная, дом 2"
279,,,"город Москва, город Московский, Солнечная улица, дом 3"
280,,,"город Москва, поселение Рязановское, посёлок Знамя Октября, дом 31"
281,,,"город Москва, поселение Марушкинское, деревня Большое Свинорье, Перспективная улица, дом 144"
282,,,"город Москва, поселение Московский, Киевское шоссе, 22-й километр, домовладение 4, строение 2"
283,,,"город Москва, поселение Первомайское, деревня Рогозинино, Луговая улица, домовладение 20А, строение 1"
284,,,"город Москва, поселение Сосенское, деревня Сосенки, Сосновая улица, дом 7"
285,,,"город Москва, поселение Сосенское, посёлок Коммунарка, улица Александры Монаховой, домовладение 30, строение 2"
286,,,"город Москва, поселение Внуковское, улица Лётчика Ульянина, дом 5"
287,,,"город Москва, Кутузовский проспект, дом 57"
288,,,"город Москва, проспект Мира, дом 188Б, корпус 2"
289,,,"город Москва, город Зеленоград, корпус 2309А"
290,,,"город Москва, Хорошёвское шоссе, дом 27"
291,,,"Большая Садовая улица, дом 5, строение 1"
292,,,"Проектируемый проезд N 4062, дом 6, строение 16"
293,,,"город Москва, Чонгарский бульвар, дом 16, корпус 1"
294,,,"город Москва, Новокосинская улица, дом 10, корпус 2"
295,,,"Лазоревый проезд, дом 5, строение 5"
296,,,"город Москва, город Зеленоград, корпус 1471Б"
297,,,"город Москва, Минская улица, дом 14-А"
298,,,"город Москва, проспект Вернадского, дом 86А"
299,,,"город Москва, Новодмитровская улица, дом 2, корпус 1"
300,,,"3-я Парковая улица, дом 24"
301,,,"город Москва, Бирюлёвская улица, дом 21, корпус 1"
302,,,"город Москва, улица Габричевского, дом 10, корпус 3"
303,,,"город Москва, Коровинское шоссе, дом 24, корпус 1"
304,,,"город Москва, Новокосинская улица, дом 47"
305,,,"город Москва, Онежская улица, дом 20"
306,,,"город Москва, Ярославское шоссе, дом 12, корпус 2"
307,,,"город Москва, улица Грина, дом 7"
308,,,"город Москва, улица Маршала Катукова, дом 18"
309,,,"город Москва, Лебедянская улица, дом 14, корпус 1, строение 2"
310,,,"город Москва, Кировоградская улица, дом 14"
311,,,"город Москва, Ленинский проспект, дом 15А"
312,,,"город Москва, Варшавское шоссе, дом 9, строение 1Б"
313,,,"город Москва, поселение Щаповское, село Ознобишино, дом 116"
314,,,"город Москва, улица Академика Скрябина, дом 30, корпус 1"
315,,,"город Москва, Никитинская улица, дом 11, строение 1"
316,,,"город Москва, Волочаевская улица, дом 12А, строение 1"
317,,,"город Москва, город Щербинка, Новостроевская улица, дом 1"
318,,,"Краснобогатырская улица, дом 90, строение 1"
319,,,"город Москва, улица Борисовские Пруды, дом 10, корпус 1"
320,,,"город Москва, Береговой проезд, дом 5, корпус 1"
321,,,"город Москва, улица Свободы, дом 44"
322,,,"город Москва, Магнитогорская улица, дом 2"
323,,,"город Москва, Алтуфьевское шоссе, дом 8"
324,,,"город Москва, Рублёвское шоссе, дом 52-А"
325,,,"город Москва, проспект Мира, дом 92, строение 2"
326,,,"город Москва, Зеленоградская улица, дом 33, корпус 2"
327,,,"город Москва, улица Народного Ополчения, дом 24"
328,,,"город Москва, Большая Новодмитровская улица, дом 23, строение 3"
329,,,"город Москва, Балаклавский проспект, дом 16А"
330,,,"город Москва, Венёвская улица, дом 6"
331,,,"город Москва, проспект Андропова, дом 36"
332,,,"город Москва, Варшавское шоссе, дом 26, строение 5"
333,,,"город Москва, Пресненская набережная, дом 6, строение 2"
334,,,"город Москва, проезд Завода Серп и Молот, дом 10"
335,,,"город Москва, улица Космонавта Волкова, дом 6А"
336,,,"город Москва, Театральная аллея, дом 3, строение 1"
337,,,"город Москва, город Троицк, Сиреневый бульвар, дом 1"
338,,,"город Москва, Новопетровская улица, дом 6"
339,,,"город Москва, город Зеленоград, Панфиловский проспект, владение 6А"
